"VideoID";"Link";"DownloadableLink"
"0023-WIDENNET";"https://milwaukeetool.widen.net/s/w2l7zpqct2/milwaukeer-jobsite-lighti";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0024-EDGENET";"https://assets.edgenet.com/3241c770-9b21-454b-a707-03dd068d1744";"https://assets.edgenet.com/3241c770-9b21-454b-a707-03dd068d1744"
"0025-YOUTUBE";"https://www.youtube.com/embed/zM7TAM-rLAY?rel=0";"https://www.youtube.com/watch?v=zM7TAM-rLAY"
"0026-EDGENET";"https://assets.edgenet.com/0b312cb7-3007-40e5-9acf-80ebf867592a";"https://assets.edgenet.com/0b312cb7-3007-40e5-9acf-80ebf867592a"
"0027-EDGENET";"https://assets.edgenet.com/867c79af-a329-40e9-b67d-cc3a9a687560";"https://assets.edgenet.com/867c79af-a329-40e9-b67d-cc3a9a687560"
"0028-EDGENET";"https://assets.edgenet.com/bbdc6d25-272a-40b7-8911-d3fc9818e174";"https://assets.edgenet.com/bbdc6d25-272a-40b7-8911-d3fc9818e174"
"0029-WIDENNET";"https://milwaukeetool.widen.net/s/77vdbwqwwl/milwaukeer-m12trade-mark-";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0030-YOUTUBE";"https://www.youtube.com/watch?v=C1c-WvVtE6I";"https://www.youtube.com/watch?v=C1c-WvVtE6I"
"0031-YOUTUBE";"https://www.youtube.com/watch?v=3-WfsBsASIA";"https://www.youtube.com/watch?v=3-WfsBsASIA"
"0032-YOUTUBE";"https://www.youtube.com/watch?v=C_iPbaPf44M";"https://www.youtube.com/watch?v=C_iPbaPf44M"
