"VideoID";"APIStatus";"Privacy";"FinalStatus"
"https://www.youtube.com/watch?v=bA1WFyDS8LI";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=i0xTXI_ciyc";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=ADNcsqjAHqU";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=F_L_ilyvoIc";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=0JSAlGf0ILA";"not_found";"";"deleted_or_unavailable"
"0kcjo7ykPGE";"processed";"public";"public"
"7ekWigSgw9c";"processed";"public";"public"
"4_QFHHH4uvA";"processed";"public";"public"
"3EiO9I57svY";"processed";"public";"public"
"2W3nhf_mUEw";"processed";"public";"public"
"V1V7Lr3yZfA";"processed";"public";"public"
"-3YVpMgCudU";"processed";"public";"public"
"2jYqS8l8Cm8";"processed";"public";"public"
"b1k5dlEwRhU";"processed";"public";"public"
"f5piHKZPoP4";"processed";"public";"public"
"_Ef1VW55pug";"processed";"public";"public"
"7aHy8Zx08KA";"processed";"public";"public"
"Z23jk5gjDG0";"processed";"public";"public"
"BX2C5hUksaM";"processed";"public";"public"
"dmptWWxAPns";"processed";"public";"public"
"6ybVZ-tHicU";"processed";"public";"public"
"XeDahc0uRcw";"processed";"public";"public"
"rylyWZNQMYY";"processed";"unlisted";"unlisted"
"LBKO_FuTQ1U";"processed";"public";"public"
"PPmqDTcCdu8";"processed";"public";"public"
"O_gJiyPbgnY";"processed";"public";"public"
"cjk-02I_zZA";"processed";"public";"public"
"hj1Do6oevPQ";"processed";"public";"public"
"0SHwQa8vyBk";"processed";"public";"public"
"ycVOKsi2Z3s";"processed";"public";"public"
"KUicIoXgWME";"processed";"public";"public"
"mBNrYW8xEnc";"processed";"public";"public"
"p1OEG43tTL4";"processed";"public";"public"
"Nfxi_OnK1hU";"processed";"public";"public"
"3h04My6MAKE";"processed";"public";"public"
"5D_UFtCRKj0";"processed";"public";"public"
"rj2gaGEEpj4";"processed";"public";"public"
"PfK_L4IZEt8";"processed";"public";"public"
"yYRZUReThsk";"processed";"public";"public"
"WPWpyXQ0vCk";"processed";"public";"public"
"7724o3HW_V8";"processed";"public";"public"
"bPKcCEKUYnQ";"processed";"public";"public"
"poSUO3XeXyg";"processed";"unlisted";"unlisted"
"https://www.youtube.com/watch?v=GOzXDktbVBY";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=WiDibK_-fiE";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=tE7FhjC1kT0";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=XThB0sqiR94";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=j-6bhYBah-Q";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=kHp1oBhlVvI";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=bzAyolfURlU";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=9dgKghxKXgo";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=Ds_T7v-MhtY";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=qL1j_L6O89Y";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=vv9g0YBCPRk";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=2zmWrnD36Fc";"not_found";"";"deleted_or_unavailable"
"Z-ReOZuXSZI";"processed";"public";"public"
"hiawDF67C4U";"processed";"unlisted";"unlisted"
"lvVW24kDIek";"processed";"public";"public"
"S8HZ_7yGklY";"processed";"public";"public"
"HQiOs8ZGcwM";"processed";"public";"public"
"-xKgSUCbiDE";"processed";"unlisted";"unlisted"
"3UA3l2rIY7M";"processed";"public";"public"
"7P9T5a_SP6s";"processed";"public";"public"
"swE8Q8M_j1c";"processed";"public";"public"
"sGhy2LfA3p0";"processed";"public";"public"
"D5LLUXTd_kY";"processed";"public";"public"
"pcE9VWLVuX8";"processed";"public";"public"
"164YGo1SuTU";"processed";"public";"public"
"TWCDj8NPOMk";"processed";"public";"public"
"qfnTsME9Qks";"processed";"public";"public"
"KPdCsJ8w3IQ";"processed";"public";"public"
"DZ8Eo_dQpDQ";"processed";"public";"public"
"vjSZiVhPcHo";"processed";"public";"public"
"Tyy8Cv2TbxI";"processed";"public";"public"
"uOu029py4VI";"processed";"public";"public"
"uQt1Q_qFTio";"processed";"public";"public"
"bkIhgt8hABw";"processed";"public";"public"
"77rJRFMH69I";"processed";"unlisted";"unlisted"
"ssYXhJCiLwg";"processed";"public";"public"
"e3wuqJSK0io";"processed";"unlisted";"unlisted"
"_1PseZ3pRvw";"processed";"public";"public"
"gPCZLIMzvC4";"processed";"public";"public"
"tgds6i7H8xQ";"processed";"public";"public"
"p6lTIk1iC5I";"processed";"public";"public"
"LrBTnRWZAqM";"processed";"public";"public"
"RneBh1cgP6c";"processed";"public";"public"
"5jtZNhYLSVQ";"processed";"public";"public"
"MrHQKEhzQg0";"processed";"public";"public"
"Qcb3Bh_i8oY";"processed";"public";"public"
"WhzQw5BCNeU";"processed";"unlisted";"unlisted"
"4O4R3D_89R8";"processed";"public";"public"
"g_52gwlI_Fg";"processed";"public";"public"
"mBrt1EgUPO8";"processed";"public";"public"
"yX79RYH2chw";"processed";"public";"public"
"zvTcYGhv5fs";"processed";"public";"public"
"n3B0ghMrpBE";"processed";"public";"public"
"https://www.youtube.com/watch?v=_YwAwnvTxqE";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=pAEeO2KrdYI";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=TcIpiCv2B5Q";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=XJapPziI1Ls";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=-GWxiY0jRjQ";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=czUw5NMbuks";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=O7B2xh7zaQs";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=rTODJVYy1r8";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=iXQ7HMSzyvg";"not_found";"";"deleted_or_unavailable"
"Ebn0JcwVzG4";"processed";"public";"public"
"istaPoSteRo";"processed";"public";"public"
"l4HMnnCp45o";"processed";"public";"public"
"l4HMnnCp45o";"processed";"public";"public"
"l4HMnnCp45o";"processed";"public";"public"
"_krptpmLrQE";"processed";"public";"public"
"nzD2KAbrA_M";"processed";"public";"public"
"Htgu7nAdHlk";"processed";"public";"public"
"6RKnhAvRS1o";"processed";"unlisted";"unlisted"
"iS1szGPBtso";"processed";"public";"public"
"KEnoBUOOPio";"processed";"public";"public"
"9R3q94UHIOA";"processed";"public";"public"
"xAV3NQn8xT4";"processed";"public";"public"
"n91yDUaTD_w";"processed";"public";"public"
"_eir2YETtfQ";"processed";"public";"public"
"F4tXeZU2z-M";"processed";"public";"public"
"yXTr3-3mYJU";"processed";"public";"public"
"lE9fQK72Cko";"processed";"public";"public"
"7LKJXL_ODFM";"processed";"public";"public"
"Q4nBIpo6VdE";"processed";"public";"public"
"BNO9yOfRmiw";"processed";"public";"public"
"tV1aNIDCv8Q";"processed";"public";"public"
"evLmmW_f870";"processed";"public";"public"
"pOouef1uqHM";"processed";"public";"public"
"7VKFA3hm-ls";"processed";"public";"public"
"BDp_HddaRz8";"processed";"public";"public"
"FxLw-p29a90";"processed";"public";"public"
"TVkozz7kyio";"processed";"public";"public"
"kbpw20MDhAc";"processed";"public";"public"
"oFuO6_meRxA";"processed";"public";"public"
"FpCbU-zXFjM";"processed";"public";"public"
"kQuQs23M2g4";"processed";"public";"public"
"dxLnuqgnugM";"processed";"public";"public"
"o52GdWcr7UY";"processed";"public";"public"
"dpxLOFO8BAs";"processed";"public";"public"
"2fHB2wacHWU";"processed";"public";"public"
"9I1QhAi2Xb8";"processed";"public";"public"
"Vvm7eVVyxi4";"processed";"public";"public"
"rzTJ9zP-fGc";"processed";"public";"public"
"6XlOrmrZHsA";"processed";"public";"public"
"Wq0p-XUtsvo";"processed";"public";"public"
"PxtKxqoTF2M";"processed";"public";"public"
"Bwhqwo2BAP8";"processed";"public";"public"
"GE_ZXFFe2H8";"processed";"public";"public"
"JGg20t_ixEU";"processed";"public";"public"
"gK_dWwHBJ5o";"processed";"public";"public"
"pHSZVVST2cg";"processed";"public";"public"
"L60jKWJjzIc";"processed";"public";"public"
"5FPSrFflTxM";"processed";"public";"public"
"v9FOY-m20EE";"processed";"public";"public"
"q8GkRgFA-ro";"processed";"public";"public"
"C66Q-xWja0g";"processed";"public";"public"
"J93VXXrU2Do";"processed";"public";"public"
"n8CItiYKCJg";"processed";"public";"public"
"sYjXOL4dH0E";"processed";"public";"public"
"1hYUWIt79jM";"processed";"public";"public"
"Ku2IcUvLvws";"processed";"public";"public"
"O9H2I4jqhvY";"processed";"public";"public"
"jwMiOZXCpMU";"processed";"public";"public"
"rHUI3rHSZu8";"processed";"public";"public"
"pSlM_BcJjVU";"processed";"public";"public"
"lOlzuVQsC78";"processed";"public";"public"
"tr2gZH2J8dc";"processed";"public";"public"
"2ctxmxF2Pts";"processed";"public";"public"
"GPweMOGkrw0";"processed";"public";"public"
"tr2gZH2J8dc";"processed";"public";"public"
"1yR8axLwSpg";"processed";"public";"public"
"tr2gZH2J8dc";"processed";"public";"public"
"7w00SuErQmc";"processed";"public";"public"
"XnbXJ_kiVOA";"processed";"public";"public"
"NLdIHpTuPWA";"processed";"public";"public"
"qWNKaDHLnrw";"processed";"public";"public"
"-IQv9-B1N8I";"processed";"public";"public"
"yVGAAtuE9cQ";"processed";"public";"public"
"VYmcT9LvEMA";"processed";"public";"public"
"https://www.youtube.com/watch?v=B_sshLw50fA";"not_found";"";"deleted_or_unavailable"
