"VideoID";"Link"
"0066-WIDENNET";"https://milwaukeetool.widen.net/s/5zggqjx86v/2520_m12_fuel_hackzall"
"0067-EDGENET";"https://assets.edgenet.com//d066cbfb-e56a-4887-9d8f-9d38c87725ed"
"0068-YOUTUBE";"https://www.youtube.com/watch?v=XjaQeJ4wu6s"
"0069-YOUTUBE";"https://www.youtube.com/watch?v=LWGnSsF6MmY"
"0070-WIDENNET";"https://milwaukeetool.widen.net/s/uhtnqt9fe4/milwaukeer-m12-fueltrade-"
"0071-EDGENET";"https://assets.edgenet.com/d066cbfb-e56a-4887-9d8f-9d38c87725ed"
"0072-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-8NGLsjZ/A"
"0073-YOUTUBE";"https://www.youtube.com/watch?v=ufxyJmrX6z0"
"0074-EDGENET";"https://assets.edgenet.com/b353a1a4-9a06-4ff1-adbe-b7fabd64f3e3"
"0075-EDGENET";"https://assets.edgenet.com//21106bda-7801-4383-8410-be475d660126"
"0076-EDGENET";"https://assets.edgenet.com/94db1034-4131-42cb-b896-a7ccfa2789ec"
"0077-YOUTUBE";"https://www.youtube.com/watch?v=ltDReXejve2"
"0078-EDGENET";"https://assets.edgenet.com/990b150a-85a5-47c0-8878-52a255137308"
"0079-EDGENET";"https://assets.edgenet.com/acfcf507-ddd0-4175-a7ee-f61914ff8266"
"0080-EDGENET";"https://assets.edgenet.com/cc087b91-31c9-4e14-bada-629593bef04f"
"0081-WIDENCDN";"https://p.widencdn.net/iotvzl/Milwaukee-M12-System-Overview_WOCallouts"
"0082-YOUTUBE";"https://www.youtube.com/watch?v=Kk-8Ph35GO0"
"0083-YOUTUBE";"https://www.youtube.com/watch?v=Kk-8Ph35GO1"
"0084-EDGENET";"https://assets.edgenet.com//1bf2f478-bc77-4c95-ac2e-a348409547de"
"0085-EDGENET";"https://assets.edgenet.com/1bf2f478-bc77-4c95-ac2e-a348409547de"
"0086-EDGENET";"https://assets.edgenet.com//903a543c-cfb9-4519-8bea-f19c6157946b"
"0087-YOUTUBE";"https://www.youtube.com/watch?v=JfBSM-rnAzw"
"0088-EDGENET";"https://assets.edgenet.com/903a543c-cfb9-4519-8bea-f19c6157946b"
"0089-EDGENET";"https://assets.edgenet.com//0979b349-7c10-44d1-953f-37965bb9ba2a"
"0090-EDGENET";"https://assets.edgenet.com/0979b349-7c10-44d1-953f-37965bb9ba2a"
"0091-EDGENET";"https://assets.edgenet.com/4f091c28-30b6-4781-a56d-13993da19581"
"0092-EDGENET";"https://assets.edgenet.com/5c746302-cb02-45c3-9e12-5ee12b5bae86"
"0093-WIDENNET";"https://milwaukeetool.widen.net/s/xd7wxkdjls/2606_m18_1_2_drilldriver"
"0094-YOUTUBE";"https://www.youtube.com/embed/_MU11eJPudU"
"0095-WIDENNET";"https://milwaukeetool.widen.net/s/wm88wzgzxo/milwaukeer_m18trade-mark-"
"0096-YOUTUBE";"https://www.youtube.com/watch?v=i-zPhKSUkIs"
"0097-WIDENNET";"https://milwaukeetool.widen.net/s/jfpnvphfdc/2625_m18_hackzall"
"0098-WIDENNET";"https://milwaukeetool.widen.net/s/mgkvjtr79h/2630_m18_circular_saw"
"0099-WIDENNET";"https://milwaukeetool.widen.net/s/5lgpdrwcj8/2646_m18_greasegun"
"0100-YOUTUBE";"https://www.youtube.com/watch?v=qEtgLwYwXpk"
"0101-WIDENNET";"https://milwaukeetool.widen.net/s/lgj9f7hfnh/2674_m18_short_throw_pres"
"0102-WIDENNET";"https://milwaukeetool.widen.net/s/bcsvltwjzs/2672_2679_m18_forcelogic_"
"0103-YOUTUBE";"https://www.youtube.com/embed/2zMCpiP8isQ"
"0104-WIDENNET";"https://milwaukeetool.widen.net/s/qgds2scbv7/2719_m18_fuel-hackzall_wo"
"0105-WIDENNET";"https://milwaukeetool.widen.net/s/cz8bllszrs/m18-fueltrade-mark-sign-s"
"0106-YOUTUBE";"https://www.youtube.com/watch?v=NCAiuv50VoE"
"0107-YOUTUBE";"https://www.youtube.com/watch?v=tIBt4MYBl1s&t=16s"
"0108-EDGENET";"https://assets.edgenet.com/6e571d76-710d-4ecc-8687-5b9dd051bb35"
"0109-WIDENNET";"https://milwaukeetool.widen.net/s/prdp5rjsfk/m18-fueltrade-mark-sign-c"
"0110-WIDENNET";"https://milwaukeetool.widen.net/s/6slxzwkd2v/2730_m18_fuel_61_2_circul"
"0111-YOUTUBE";"https://www.youtube.com/embed/BmTg77DiETM"
"0112-EDGENET";"https://assets.edgenet.com/7b549afd-50db-42cb-b8f7-22a0f5626593"
"0113-EDGENET";"https://assets.edgenet.com/edc03997-bf5c-406a-992e-6fa91fcc878b"
"0114-YOUTUBE";"https://www.youtube.com/watch?v=wz3V80uKl_E"
"0115-WIDENNET";"https://milwaukeetool.widen.net/s/kp5jwcgclx/2738_m18_fuel_7_polisher"
"0116-YOUTUBE";"https://www.youtube.com/watch?v=XSNBBd4fUf4"
"0117-WIDENNET";"https://milwaukeetool.widen.net/s/xgv9vdpnxn/milwaukeer-m18-fueltrade-"
"0118-PLAYERVIMEO";"https://player.vimeo.com/video/658833962?h=e57566bd3a&color=db011c"
"0119-YOUTUBE";"https://www.youtube.com/watch?v=AxkpocklIbk"
"0120-YOUTUBE";"https://www.youtube.com/watch?v=YbMZuVBv-1k"
"0121-WIDENNET";"https://milwaukeetool.widen.net/s/grdzqw9r6t/2760_m18_fuel_surge_hydra"
"0122-YOUTUBE";"https://www.youtube.com/watch?v=PTy8_T3EvVQ"
"0123-EDGENET";"https://assets.edgenet.com/71142688-776b-45cc-b2cb-388ab0aa56ca"
"0124-WIDENNET";"https://milwaukeetool.widen.net/s/tpmjw9xmvg/2782_m18_fuel_metal_saw"
"0125-WIDENNET";"https://milwaukeetool.widen.net/s/lw5qswxxlq/2792_bluetooth_radio"
"0126-YOUTUBE";"https://www.youtube.com/watch?v=ufjAUrzdUCI"
"0127-YOUTUBE";"https://www.youtube.com/watch?v=bg0XZBQ5UWI"
"0128-YOUTUBE";"https://www.youtube.com/embed/jxKZSZaJ3MA"
"0129-YOUTUBE";"https://www.youtube.com/watch?v=45s1Zou7QrI"
"0130-YOUTUBE";"https://www.youtube.com/watch?v=GPmgR23E4d8"
"0131-YOUTUBE";"https://www.youtube.com/watch?v=gjCiJsV7AfA"
"0132-EDGENET";"https://assets.edgenet.com/ec9975f2-851c-4d1f-90c5-07dd6585050c"
"0133-YOUTUBE";"https://www.youtube.com/watch?v=lPEpd9XdBV4"
"0134-EDGENET";"https://assets.edgenet.com//77287abe-e0e9-4d99-83e8-3622727cdf05"
"0135-YOUTUBE";"https://www.youtube.com/watch?v=Z2Rk3Nsj8fE"
"0136-YOUTUBE";"https://www.youtube.com/watch?v=8Ntq3hvxFnI"
"0137-YOUTU-BE";"https://youtu.be/PJB4fPLluII?si=-hOCfiEoSJWt5H7T"
"0138-YOUTUBE";"https://www.youtube.com/watch?v=Sru3GgFLof0"
"0139-YOUTUBE";"https://www.youtube.com/embed/QVxxUKry8kk"""
"0140-YOUTUBE";"https://www.youtube.com/watch?v=PXugDgrAL_0"
"0141-YOUTUBE";"https://www.youtube.com/embed/aW_kYAVz_Zk"
"0142-WIDENNET";"https://milwaukeetool.widen.net/s/t8hksjrfvp/milwaukeer-m18-fueltrade-"
"0143-YOUTUBE";"https://www.youtube.com/embed/YHQB4JRGX20"
"0144-WIDENNET";"https://milwaukeetool.widen.net/s/rznqfwpjzc/2866_m18_fuel_drywall_scr"
"0145-YOUTUBE";"https://www.youtube.com/watch?v=XKKCNP42zVQ"
"0146-YOUTUBE";"https://www.youtube.com/watch?v=h-V1clLAI-E"
"0147-YOUTUBE";"https://www.youtube.com/watch?v=N0qg9Ji5i0Y"
"0148-YOUTUBE";"https://www.youtube.com/watch?v=2igSaYH_XsY"
"0149-YOUTUBE";"https://www.youtube.com/watch?v=3N2Plypn_Bg"
"0150-YOUTUBE";"https://www.youtube.com/watch?v=-p_dDh0IA_0"
"0151-YOUTUBE";"https://www.youtube.com/embed/Xfa1b17Q5dw"
"0152-VIMEO";"https://vimeo.com/658692112"
"0153-YOUTUBE";"https://www.youtube.com/embed/oKOx1vTPsyI"
"0154-YOUTUBE";"https://www.youtube.com/watch?v=oKOx1vTPsyI"
"0155-WIDENNET";"https://milwaukeetool.widen.net/s/gxb2vp92ch/2891_m12_m18_jobsite_spea"
"0156-YOUTUBE";"https://www.youtube.com/embed/2iXw_x2Q_ZU"
"0157-YOUTUBE";"https://www.youtube.com/watch?v=kkCzn0xIpmQ"
"0158-YOUTUBE";"https://www.youtube.com/embed/XEbh05vM5C8"
"0159-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-BvFMkm7/A"
"0160-EDGENET";"https://assets.edgenet.com/093f084b-106e-4600-9f2f-b2711cd3a3ad"
"0161-YOUTUBE";"https://www.youtube.com/watch?v=fDXZjxJP2-A"
"0162-YOUTUBE";"https://www.youtube.com/embed/kvFzrMNxHeQ?si=UICdxt6vWD0ELQA7"
"0163-EDGENET";"https://assets.edgenet.com/f320e9fa-d1d0-4654-9a48-83e869730fb2"
"0164-YOUTUBE";"https://www.youtube.com/embed/4KmsWV01skY?si=uQYn0aA76P0augfN"
"0165-YOUTUBE";"https://www.youtube.com/watch?v=4hxiBlOGL6Q"
"0166-YOUTUBE";"https://www.youtube.com/embed/RPBsNGqJYnU"
"0167-YOUTUBE";"https://www.youtube.com/watch?v=ZRjt-fraF7I"
"0168-EDGENET";"https://assets.edgenet.com//cfc17785-11d4-45c6-9731-2b2ce5f67357"
"0169-YOUTUBE";"https://www.youtube.com/embed/eDhByGWlE_A"
"0170-YOUTUBE";"https://www.youtube.com/watch?v=JsOVq1pL8Aw"
"0171-EDGENET";"https://assets.edgenet.com/b37ee2d7-6777-4a8b-b5c4-77db8eb4ea2b"
"0172-YOUTUBE";"https://www.youtube.com/watch?v=J3U4Ch7xe7w"
"0173-WIDENNET";"https://milwaukeetool.widen.net/s/5wbfsb9xgv/milwaukeer-m18-fueltrade-"
"0174-YOUTUBE";"https://www.youtube.com/watch?v=j3b4uDYRtrE"
"0175-WIDENNET";"https://milwaukeetool.widen.net/s/lvzqgdnqjw/milwaukeer-m18-fueltrade-"
"0176-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-XXhk3M7/A"
"0177-YOUTUBE";"https://www.youtube.com/watch?v=tKjwnep-t0E"
"0178-EDGENET";"https://assets.edgenet.com/8dd3ba14-70b0-4dc1-9b22-2c23b777bed4"
"0179-YOUTUBE";"https://www.youtube.com/embed/rZQza36rFHw"
"0180-YOUTUBE";"https://www.youtube.com/embed/XB_4atBVqO8"
"0181-WIDENNET";"https://milwaukeetool.widen.net/s/vg9hgtfkmf/roll-ontrade-mark-sign-3600w7200w-power-supply_youtube"
"0182-WIDENNET";"https://milwaukeetool.widen.net/s/vl9pvldhbr/milwaukeer-womens-workwear"
"0183-YOUTUBE";"https://www.youtube.com/embed/zAvhGUrmwc4"
"0184-YOUTUBE";"https://www.youtube.com/embed/Mx9gA3vhAHI"
"0185-YOUTUBE";"https://www.youtube.com/embed/_5Yaa0fXVMI?si=fyddmqv5rN7HDboD"
"0186-YOUTUBE";"https://www.youtube.com/embed/jO48v_h__yA?si=-iqpIT-EEUrbAW1V"
"0187-EDGENET";"https://assets.edgenet.com//6d7682ce-7882-48ff-ab41-7bace5e11386"
"0188-EDGENET";"https://assets.edgenet.com/a9772990-e463-45f9-bb02-18440f30f022"
"0189-EDGENET";"https://assets.edgenet.com//309d9d24-7dbb-4ed6-85e3-aa09db62b76f"
"0190-YOUTUBE";"https://www.youtube.com/embed/4LA3I7efF1M"
"0191-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-ffvVLBX/A"
"0192-EDGENET";"https://assets.edgenet.com/6d7682ce-7882-48ff-ab41-7bace5e11386"
"0193-EDGENET";"https://assets.edgenet.com/309d9d24-7dbb-4ed6-85e3-aa09db62b76f"
"0194-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-QF9wsbz/A"
"0195-YOUTUBE";"https://www.youtube.com/embed/Iqn53-24U-Y"
"0196-YOUTUBE";"www.youtube.com/embed/Iqn53-24U-Y"
"0197-YOUTUBE";"https://www.youtube.com/embed/EuO88jo2qMU"
"0198-YOUTUBE";"https://www.youtube.com/embed/tDzj972Ypio?si=L6bLAVHWe37yE0Gd"
"0199-YOUTUBE";"https://www.youtube.com/embed/yWgLkOWoJpE?si=kVKqOWEbksic0Ni0"
"0200-YOUTUBE";"https://www.youtube.com/embed/yWgLkOWoJpE?si=-4Hci-4orHCyLFRb"
"0201-YOUTUBE";"https://www.youtube.com/watch?v=Mx9gA3vhAHI"
"0202-YOUTUBE";"https://www.youtube.com/watch?v=EDcDngaAVxc"
"0203-YOUTUBE";"https://www.youtube.com/watch?v=6ktPFR4wD-s"
"0204-EDGENET";"https://assets.edgenet.com//7a4ee311-faa7-4abd-98b8-b04ee0841553"
"0205-YOUTUBE";"https://www.youtube.com/watch?v=A53bmMrBLDA"
"0206-YOUTUBE";"https://www.youtube.com/watch?v=0axbpDOdeJo"
"0207-EDGENET";"https://assets.edgenet.com//406cb7f3-247e-41fe-aac8-57f851b6ac29"
"0208-YOUTUBE";"https://www.youtube.com/watch?v=yWgLkOWoJpE"
"0209-YOUTUBE";"https://www.youtube.com/embed/rhzxLymECWU"
"0210-YOUTUBE";"https://www.youtube.com/watch?v=mDRQYGocC34"
"0211-EDGENET";"https://assets.edgenet.com/7a4ee311-faa7-4abd-98b8-b04ee0841553"
"0212-EDGENET";"https://assets.edgenet.com/406cb7f3-247e-41fe-aac8-57f851b6ac29"
"0213-EDGENET";"https://assets.edgenet.com/441a8818-8f37-4fa5-b942-c2be437b455a"
"0214-YOUTUBE";"https://www.youtube.com/embed/GVjJ3b9KVl0"
"0215-EDGENET";"https://assets.edgenet.com//0d83f4b5-260d-4c12-adad-938985f92d25"
"0216-YOUTUBE";"https://www.youtube.com/embed/PJB4fPLluII"
"0217-ZERO";"0"
"0218-WIDENNET";"https://milwaukeetool.widen.net/s/5ppwzt9wlb/m18trade-mark-sign-redlit"
"0219-YOUTUBE";"https://www.youtube.com/watch?v=8xaEb_ZHb7s"
"0220-WIDENNET";"https://milwaukeetool.widen.net/s/vjzmzmqszg/milwaukeer-m18trade-mark-sign-milwaukeer-redlithiumtrade-mark-sign-forgetrade-mark-sign-hd12"
"0221-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-QtM7jBC/A"
"0222-YOUTUBE";"https://www.youtube.com/embed/61VuPyViuAA"
"0223-WIDENNET";"https://milwaukeetool.widen.net/s/f5827qvqqc/m18_redlithium_xc5.0"
"0224-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-X9B6wZx/A"
"0225-WIDENCOLLECTIVE";"https://milwaukeetool.widencollective.com/assets/share/asset/1sxuzxpyvl"
"0226-YOUTUBE";"https://www.youtube.com/embed/3fTI3lEKsbc"
"0227-YOUTUBE";"https://www.youtube.com/watch?v=EA8GlnNQKcw"
"0228-YOUTUBE";"https://www.youtube.com/embed/dqHZypSHyOs"
"0229-YOUTUBE";"https://www.youtube.com/embed/FUCQo_wYR4s"
"0230-YOUTUBE";"https://www.youtube.com/watch?v=gt70f5jx2YU"
"0231-YOUTUBE";"https://www.youtube.com/watch?v=61VuPyViuAA"
"0232-YOUTUBE";"https://www.youtube.com/embed/1csnNAU01aM"
"0233-YOUTUBE";"https://www.youtube.com/embed/DJlBbhwz_FQ"
"0234-YOUTUBE";"https://www.youtube.com/watch?v=JrP2Tc5TBng"
"0235-YOUTUBE";"https://www.youtube.com/watch?v=FMHZsg1y328"
"0236-YOUTUBE";"https://www.youtube.com/watch?v=dqHZypSHyOs"
"0237-YOUTUBE";"https://www.youtube.com/embed/39alLJKo3_s"
"0238-EDGENET";"https://assets.edgenet.com/cd685dae-966a-46b6-88bb-59685079de12"
"0239-EDGENET";"https://assets.edgenet.com/44d3c6da-1b89-4701-af6c-a111f38a2c04"
"0240-YOUTUBE";"https://www.youtube.com/watch?v=rQ_vj6Z7qNk"
"0241-YOUTU-BE";"https://youtu.be/G_wobJ0jRFs"
"0242-EDGENET";"https://assets.edgenet.com//8656c7a5-808a-46a0-89bb-af665aa71ee4"
"0243-YOUTUBE";"https://www.youtube.com/embed/NrJ5ocCWQqc"
"0244-YOUTUBE";"https://www.youtube.com/embed/4-k6GjnCMcs"
"0245-YOUTUBE";"https://www.youtube.com/embed/MVnucmmI2bo"
"0246-YOUTUBE";"https://www.youtube.com/embed/oTDaevFtDh0"
"0247-EDGENET";"https://assets.edgenet.com//8a453ab7-cff4-442a-adec-255a6393b6a6"
"0248-WIDENNET";"https://milwaukeetool.widen.net/s/22qwbqsmwg/milwaukee_pliers"
"0249-EDGENET";"https://assets.edgenet.com//2b6ef32e-d404-4a40-b56b-db50a30fc48c"
"0250-EDGENET";"https://assets.edgenet.com/2b6ef32e-d404-4a40-b56b-db50a30fc48c"
"0251-YOUTUBE";"https://www.youtube.com/embed/a8Qkh6pYU2s"
"0252-YOUTUBE";"https://www.youtube.com/embed/gPZ9HqKGO2o"
"0253-EDGENET";"https://assets.edgenet.com//177a9e37-4ff3-428b-a74b-ee20c8e0d3e5"
"0254-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-8nbKkwK/A"
"0255-YOUTUBE";"https://www.youtube.com/watch?v=9hyY_lCeN0M"
"0256-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-4zT47S3/A"
"0257-YOUTUBE";"https://www.youtube.com/watch?v=QB1KtvE4or4"
"0258-YOUTUBE";"https://www.youtube.com/watch?v=5rX6sWzUIwU"
"0259-YOUTUBE";"https://www.youtube.com/embed/9hyY_lCeN0M?rel=0"
"0260-YOUTUBE";"https://www.youtube.com/watch?v=zFlaFJwKwas"
"0261-WIDENNET";"https://milwaukeetool.widen.net/s/vlqbchqwvr/milwaukeer-packouttrade-m"
"0262-WIDENNET";"https://milwaukeetool.widen.net/s/ikima3tvan/milwaukee_packout_modular"
"0263-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-dKLpnvT/A"
"0264-YOUTUBE";"https://www.youtube.com/watch?v=BzuNbEQcmGI"
"0265-YOUTUBE";"https://www.youtube.com/embed/8LfQvx7P3ew"
"0266-YOUTUBE";"https://www.youtube.com/watch?v=KP6NFiax2rk"
"0267-YOUTUBE";"https://www.youtube.com/watch?v=tN47Y9S6v-0"
"0268-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-7mGJK65/A"
"0269-YOUTUBE";"https://www.youtube.com/watch?v=Bv8BK6Ldnd4"
"0270-YOUTUBE";"https://www.youtube.com/watch?v=-fdaF5ZTYIo"
"0271-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-x83kgM8/A"
"0272-YOUTUBE";"https://www.youtube.com/watch?v=CF8vm2PzhnM"
"0273-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-bLdP6px/A"
"0274-YOUTUBE";"https://www.youtube.com/watch?v=2hZb2H_DkFE"
"0275-YOUTUBE";"https://www.youtube.com/watch?v=qPmHIgwzO8o"
"0276-YOUTUBE";"https://www.youtube.com/embed/ZrzhFp0Pis4"
"0277-EDGENET";"https://assets.edgenet.com/00128b8b-c6f0-4052-a63a-d24531715a01"
"0278-EDGENET";"https://assets.edgenet.com/25008c43-23c1-4048-81d0-a53f076d98c8"
"0279-YOUTUBE";"https://www.youtube.com/embed/zkHzZKuRUwk"
"0280-YOUTUBE";"https://www.youtube.com/embed/Yig_0fsIgWE"
"0281-YOUTUBE";"https://www.youtube.com/embed/7Hmc_gsgaZQ"
"0282-YOUTUBE";"https://www.youtube.com/watch?v=P1S1u497fyo"
"0283-WIDENNET";"https://milwaukeetool.widen.net/s/plcnq8mnjp/milwaukeer-circular-saw-b"
"0284-YOUTUBE";"https://www.youtube.com/embed/dzLESZEljV8"
"0285-YOUTUBE";"https://www.youtube.com/embed/ggAG5yBbC_Q"
"0286-EDGENET";"https://assets.edgenet.com/b46cf7fe-1bfe-44cf-ac4f-17d08724710f"
"0287-EDGENET";"https://assets.edgenet.com//b46cf7fe-1bfe-44cf-ac4f-17d08724710f"
"0288-YOUTUBE";"https://www.youtube.com/embed/KZm7juR_yFU"
"0289-YOUTUBE";"https://www.youtube.com/embed/3N2Plypn_Bg"
"0290-SMUGMUG";"https://milwaukeetoolca.smugmug.com/Milwaukee-Brand-Videos-/French-Videos/n-Vjrd3Q/i-jqQ9jxv/A"
